ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230031107,57.229,49.286,0.03323,1237667138025161938,57.233,49.282,1.000
20230056373,117.704,49.293,0.02395,1237663916264521866,117.700,49.286,0.955
20230031079,135.830,49.271,0.05092,1237655108901863603,135.839,49.287,0.934
20230031090,130.357,49.289,0.05143,1237654383586115767,130.356,49.289,0.997
20230031091,57.223,49.291,0.03323,1237667138025161989,57.223,49.294,1.000
20230031096,235.039,49.297,0.05503,1237655463244988861,235.035,49.298,0.953
20230031108,186.134,49.309,0.04482,1237661150302044395,186.122,49.304,0.896
20230031103,217.912,49.303,0.00671,1237659118787100784,217.920,49.306,0.988
20230056340,155.564,49.306,0.04092,1237657857676804270,155.547,49.309,0.941
20230031111,114.346,49.312,0.02105,1237663789564166283,114.350,49.311,0.975
20230031123,186.349,49.329,0.04480,1237661150302110108,186.354,49.326,0.955
20230031122,225.370,49.328,0.01180,1237661416605876551,225.372,49.328,0.999
20230031127,58.955,49.336,0.03272,1237667136951747600,58.986,49.341,0.994
20230031134,35.545,49.345,0.04096,1237661057960640838,35.545,49.347,1.000
20230031132,133.982,49.344,0.03548,1237654381439353223,133.962,49.347,0.923
20230051559,223.541,49.318,0.04825,1237661416068546720,223.593,49.350,0.940
20230031142,203.814,49.353,0.00644,1237661152454509020,203.810,49.358,0.821
20230031152,184.450,49.365,0.02445,1237658611985285384,184.454,49.365,0.980
20230031171,55.611,49.394,0.01617,1237667139098705956,55.644,49.371,0.985
20230031160,58.103,49.376,0.01321,1237667137488488929,58.104,49.376,0.999
20230031165,169.027,49.388,0.02033,1237658613591572725,169.026,49.391,0.985
20230052691,152.657,49.396,0.01456,1237657589240758587,152.661,49.400,0.982
20230031178,214.331,49.397,0.06868,1237662302971494936,214.328,49.401,0.956
20230031199,56.696,49.411,0.06831,1237670458589250798,56.690,49.404,0.989
20230031195,231.471,49.408,0.06780,1237659324949135760,231.473,49.410,0.991
20230031202,210.825,49.416,0.00675,1237662301896835624,210.824,49.417,0.993
20230031207,188.597,49.419,0.03952,1237658203975647403,188.607,49.420,0.988
20230056044,187.977,49.424,0.03967,1237658203975516347,187.982,49.433,0.986
20230056105,142.429,49.426,0.03372,1237657771244322973,142.431,49.433,0.980
20230062851,222.713,49.454,0.03695,1237659120935764091,222.710,49.461,0.952
20230062853,140.273,49.466,0.01594,1237657772317540530,140.254,49.463,0.983
20230056107,218.471,49.475,0.03673,1237659131672461653,218.474,49.473,0.993
