ID_FASHI,RA_FASHI,DEC_FASHI,cz_FASHI,AGCNr_ALFALFA,RA_ALFALFA,DEC_ALFALFA,cz_ALFALFA
,deg,deg,km/s,,deg,deg,km/s
20230058541,185.565,32.399,6560.78,728223,185.565,32.399,6556
20230008776,170.655,32.397,10098.89,210286,170.671,32.390,10093
20230061041,17.206,32.397,4641.86,115638,17.217,32.398,4675
20230008773,335.942,32.396,6624.53,12019,335.948,32.401,6590
20230008765,341.297,32.391,6427.07,322782,341.302,32.388,6429
20230008764,353.931,32.390,4954.63,12693,353.930,32.387,4956
20230008763,171.402,32.390,10055.07,219834,171.407,32.355,10055
20230008762,217.096,32.390,4174.89,240391,217.105,32.392,4188
20230061040,16.756,32.385,5109.00,679,16.766,32.393,5106
20230008752,189.397,32.384,11541.88,229546,189.391,32.374,11538
20230008750,353.410,32.383,4986.84,12666,353.422,32.385,4988
20230052017,205.206,32.381,2653.62,239143,205.207,32.409,2669
20230008748,40.945,32.379,4051.45,2202,40.956,32.387,4059
20230008743,221.630,32.376,13650.81,246146,221.629,32.394,13644
20230008742,346.847,32.375,6220.39,12379,346.850,32.378,6211
20230058540,192.486,32.375,6875.10,728351,192.505,32.393,6896
20230008741,0.270,32.375,542.40,103567,0.277,32.382,542
20230008738,204.713,32.375,7632.58,235015,204.717,32.375,7618
20230008735,142.890,32.373,6768.24,195120,142.893,32.379,6768
20230061039,355.306,32.373,3933.09,335613,355.312,32.368,3942
20230008745,40.516,32.372,5127.16,2174,40.523,32.385,5127
20230058535,178.790,32.369,9379.30,217380,178.798,32.365,9366
20230008731,38.320,32.368,4688.24,124957,38.322,32.368,4678
20230008727,34.652,32.366,4925.59,124712,34.658,32.379,4925
20230061037,17.493,32.366,5177.97,724,17.499,32.370,5177
20230008725,144.836,32.365,6829.26,190769,144.855,32.369,6859
20230061036,27.061,32.363,10879.71,110794,27.064,32.363,10872
20230008724,149.589,32.362,1490.96,5351,149.600,32.365,1467
20230008723,167.935,32.362,13472.51,727857,167.946,32.379,13413
20230058536,24.501,32.361,12942.31,112487,24.515,32.365,12960
20230008720,36.331,32.360,10406.84,124947,36.326,32.380,10396
20230008716,157.884,32.357,10832.14,5712,157.882,32.365,10836
20230008715,342.839,32.357,6415.98,12218,342.843,32.350,6429
20230008712,340.695,32.354,8910.30,322779,340.695,32.349,8910
20230008710,175.365,32.353,1839.63,211117,175.377,32.359,1845
20230058534,12.664,32.353,4927.32,104153,12.664,32.353,4926
20230058538,37.034,32.351,5436.51,120269,37.038,32.367,5447
20230008709,357.045,32.351,4942.25,335620,357.047,32.358,4947
20230008706,342.367,32.348,6697.34,322763,342.375,32.350,6687
20230061035,24.526,32.346,5303.88,114718,24.529,32.353,5300
20230008704,167.702,32.346,13454.06,216478,167.695,32.350,13431
20230008703,36.479,32.345,4486.71,124948,36.486,32.352,4487
20230008699,143.795,32.344,4275.24,195244,143.798,32.352,4276
20230008696,43.973,32.340,11286.39,2393,43.976,32.340,11298
20230008695,210.453,32.340,4295.55,231786,210.465,32.347,4301
20230008694,354.552,32.337,4795.07,12714,354.557,32.338,4796
20230008692,44.573,32.336,3621.75,120714,44.584,32.339,3642
20230008691,207.658,32.335,7510.39,235328,207.669,32.349,7506
20230008686,179.365,32.333,3199.83,6933,179.371,32.318,3204
20230008685,220.897,32.332,4759.28,246102,220.905,32.320,4759
20230008682,41.099,32.331,5129.27,123654,41.104,32.348,5128
20230061033,16.162,32.328,4728.49,112350,16.164,32.330,4724
20230008677,144.599,32.326,6650.08,198820,144.605,32.327,6634
20230058530,187.842,32.325,6753.76,227305,187.850,32.316,6669
20230008676,193.263,32.325,6578.79,728391,193.270,32.330,6578
20230008675,190.755,32.325,6926.91,747976,190.748,32.324,6970
20230058533,201.090,32.324,12407.50,239178,201.090,32.324,12493
20230061032,24.962,32.323,10600.42,115680,24.965,32.332,10600
20230008672,171.389,32.321,10302.24,6434,171.400,32.324,10297
20230008666,176.934,32.318,9784.70,217257,176.949,32.318,9773
20230008665,183.492,32.317,6845.96,728189,183.504,32.321,6836
20230008657,182.031,32.312,6757.24,226956,182.038,32.320,6756
20230008653,355.510,32.307,8382.44,335428,355.517,32.309,8390
20230058528,161.598,32.302,10488.44,206778,161.605,32.301,10505
20230008647,343.660,32.299,6633.62,321461,343.672,32.304,6631
20230008644,179.425,32.298,3215.92,6944,179.428,32.291,3253
20230008642,192.131,32.296,6793.28,229548,192.136,32.295,6789
20230008641,203.257,32.295,7372.56,234863,203.261,32.294,7426
20230008640,208.766,32.295,6685.33,748299,208.779,32.288,6685
20230008639,144.826,32.293,6752.97,5144,144.829,32.313,6693
20230008638,202.688,32.293,6871.93,234781,202.684,32.292,6833
20230053659,170.206,32.291,8342.95,6356,170.204,32.301,8349
20230008635,347.755,32.290,1110.05,335310,347.767,32.277,1114
20230008632,39.019,32.288,4760.55,124959,39.025,32.282,4779
20230008631,202.534,32.287,744.47,239115,202.544,32.287,746
20230061027,194.881,32.286,9400.53,728482,194.884,32.290,9406
20230008626,158.008,32.284,6603.42,206514,158.012,32.281,6599
20230008623,207.607,32.281,7624.67,235322,207.620,32.282,7647
20230008622,352.380,32.280,5783.72,335598,352.388,32.273,5805
20230008619,32.049,32.277,5029.29,124933,32.048,32.276,5021
20230008617,31.226,32.276,6982.49,124922,31.200,32.274,6974
20230008616,220.344,32.276,9615.58,246069,220.345,32.270,9636
20230008614,152.564,32.275,1460.82,5482,152.571,32.278,1456
20230008611,171.304,32.273,13197.92,216790,171.312,32.270,13243
20230008609,12.445,32.272,4652.87,508,12.446,32.280,4648
20230008608,175.386,32.271,1807.00,212955,175.397,32.282,1802
20230008603,350.165,32.267,9240.12,335592,350.157,32.259,9235
20230008601,343.436,32.267,6097.78,322790,343.434,32.270,6103
20230053728,172.926,32.265,12611.73,216895,172.926,32.251,12634
20230008414,179.290,32.264,3155.20,219841,179.287,32.254,3133
20230008598,40.072,32.264,4492.18,2156,40.073,32.268,4490
20230008597,340.801,32.262,8898.03,322780,340.797,32.262,8899
20230008594,156.676,32.261,4478.57,208891,156.677,32.269,4479
20230008593,229.051,32.261,13774.82,254434,229.058,32.260,13837
20230008592,41.067,32.260,10020.86,124915,41.060,32.259,10042
20230061025,26.107,32.260,11295.54,115236,26.115,32.253,11255
20230008590,166.552,32.260,8302.07,727829,166.549,32.264,8316
20230008586,190.202,32.257,4297.67,728273,190.206,32.254,4308
20230061023,19.669,32.256,10485.23,110191,19.664,32.261,10484
20230061022,26.963,32.254,11449.16,115683,26.959,32.259,11461
20230008580,157.699,32.251,6459.33,206494,157.705,32.257,6467
20230008576,171.365,32.247,13033.09,728036,171.369,32.249,12959
20230008572,200.657,32.245,11124.21,234545,200.658,32.247,11123
20230008569,173.553,32.244,8337.91,216954,173.549,32.251,8328
20230008566,355.407,32.240,3866.85,334089,355.402,32.243,3869
20230008564,146.265,32.239,534.15,5209,146.270,32.237,537
20230008562,341.741,32.239,6797.18,322787,341.729,32.245,6797
20230008561,206.239,32.239,12763.51,239255,206.239,32.248,12759
20230008560,353.233,32.239,5087.52,335604,353.243,32.259,5085
20230008559,35.513,32.238,10125.67,1825,35.521,32.243,10146
20230061021,21.199,32.237,10568.16,110313,21.212,32.226,10587
20230008556,149.498,32.235,4482.23,190625,149.500,32.239,4486
20230008553,359.620,32.233,4859.49,12869,359.621,32.231,4858
20230008547,143.005,32.230,4695.64,195138,143.009,32.229,4711
20230008546,165.640,32.228,1951.57,747724,165.648,32.229,1950
20230008543,46.394,32.227,6226.80,132254,46.395,32.232,6232
20230050757,212.086,32.226,15155.93,729326,212.079,32.228,15182
20230008542,352.384,32.226,13371.43,335599,352.389,32.226,13391
20230061020,19.211,32.225,10416.15,115657,19.213,32.233,10408
20230061019,30.904,32.223,4741.08,124464,30.910,32.221,4737
20230061018,35.984,32.222,3146.08,124621,35.995,32.226,3151
20230008539,152.733,32.222,6301.88,206163,152.738,32.218,6302
